State,City,Year,week,precip_sum,temp_mean,aqi_proxy_pm25
Arunachal Pradesh,Itanagar,2025,46,0.0,21.099999999999998,16.821428571428573
Arunachal Pradesh,Itanagar,2025,47,1.3,19.185714285714287,9.163690476190476
Arunachal Pradesh,Itanagar,2025,48,0.0,18.8,12.250595238095238
Arunachal Pradesh,Itanagar,2025,49,0.1,17.285714285714285,15.564285714285715
Arunachal Pradesh,Itanagar,2025,50,0.0,15.771428571428572,8.128571428571428
Arunachal Pradesh,Itanagar,2025,51,0.0,15.685714285714285,9.719047619047618
Arunachal Pradesh,Itanagar,2025,52,0.0,16.714285714285715,19.93095238095238
Assam,Dispur,2025,1,0.7999999999999999,17.15,43.87604166666667
Assam,Dispur,2025,2,15.0,17.3,43.63630952380952
Assam,Dispur,2025,3,1.6,17.52857142857143,45.166666666666664
Assam,Dispur,2025,4,0.3,18.428571428571427,80.76071428571429
Assam,Dispur,2025,5,2.2,17.84285714285714,78.14285714285714
Assam,Dispur,2025,6,0.5,18.75714285714286,74.99761904761905
Assam,Dispur,2025,7,1.0,17.885714285714286,64.73928571428571
Assam,Dispur,2025,8,13.8,18.82857142857143,54.91428571428572
Assam,Dispur,2025,9,7.699999999999999,19.785714285714285,45.87380952380953
Assam,Dispur,2025,10,0.7,20.428571428571427,46.93511904761905
Assam,Dispur,2025,11,27.2,20.82857142857143,59.476190476190474
Assam,Dispur,2025,12,0.6,22.62857142857143,54.483333333333334
Assam,Dispur,2025,13,0.30000000000000004,25.542857142857144,56.405952380952385
Assam,Dispur,2025,14,0.4,26.557142857142857,57.855952380952374
Assam,Dispur,2025,15,25.0,25.5,43.13452380952381
Assam,Dispur,2025,16,37.199999999999996,24.900000000000002,33.63452380952381
Assam,Dispur,2025,17,42.9,25.385714285714283,34.77738095238095
Assam,Dispur,2025,18,27.6,24.37142857142857,29.917261904761908
Assam,Dispur,2025,19,39.1,27.042857142857144,44.03809523809524
Assam,Dispur,2025,20,106.1,25.071428571428573,36.19166666666666
Assam,Dispur,2025,21,96.1,25.928571428571427,22.264880952380953
Assam,Dispur,2025,22,246.0,26.271428571428572,14.241666666666665
Assam,Dispur,2025,23,53.5,26.785714285714285,30.413690476190474
Assam,Dispur,2025,24,25.0,30.442857142857143,30.765476190476193
Assam,Dispur,2025,25,118.3,27.514285714285712,15.436904761904762
Assam,Dispur,2025,26,87.6,27.82857142857143,13.686904761904762
Assam,Dispur,2025,27,222.3,27.514285714285712,14.37797619047619
Assam,Dispur,2025,28,25.2,28.75714285714286,14.947619047619046
Assam,Dispur,2025,29,54.1,28.385714285714283,16.729166666666668
Assam,Dispur,2025,30,92.7,29.514285714285712,16.57857142857143
Assam,Dispur,2025,31,160.60000000000002,27.7,12.668452380952383
Assam,Dispur,2025,32,82.2,27.38571428571429,17.301785714285714
Assam,Dispur,2025,33,113.80000000000001,27.771428571428572,19.22083333333333
Assam,Dispur,2025,34,87.5,27.6,11.776190476190477
Assam,Dispur,2025,35,70.4,27.342857142857145,13.62202380952381
Assam,Dispur,2025,36,47.1,28.557142857142857,15.164285714285715
Assam,Dispur,2025,37,84.6,27.357142857142858,18.48392857142857
Assam,Dispur,2025,38,72.8,26.685714285714287,18.600595238095238
Assam,Dispur,2025,39,16.6,28.571428571428573,12.805357142857144
Assam,Dispur,2025,40,38.7,27.099999999999998,14.498214285714285
Assam,Dispur,2025,41,57.5,25.97142857142857,20.98035714285714
Assam,Dispur,2025,42,1.0,27.157142857142855,21.2375
Assam,Dispur,2025,43,21.4,26.557142857142857,22.363095238095237
Assam,Dispur,2025,44,45.4,24.728571428571428,23.97083333333333
Assam,Dispur,2025,45,1.3,24.457142857142856,21.464285714285715
Assam,Dispur,2025,46,1.3,22.414285714285715,32.5625
Assam,Dispur,2025,47,4.9,20.82857142857143,22.19345238095238
Assam,Dispur,2025,48,0.5,20.185714285714287,30.191666666666666
Assam,Dispur,2025,49,0.5,19.38571428571429,40.364285714285714
Assam,Dispur,2025,50,0.0,17.685714285714287,24.986904761904764
Assam,Dispur,2025,51,0.0,17.87142857142857,31.428571428571427
Assam,Dispur,2025,52,5.3,18.04285714285714,45.0797619047619
Bihar,Patna,2025,1,0.0,13.725,139.88072916666667
Bihar,Patna,2025,2,0.4,15.299999999999999,112.53690476190476
Bihar,Patna,2025,3,0.0,16.02857142857143,100.31904761904761
Bihar,Patna,2025,4,0.0,16.771428571428572,86.81488095238095
Bihar,Patna,2025,5,0.0,17.742857142857144,125.6595238095238
Bihar,Patna,2025,6,0.0,18.785714285714285,70.7357142857143
Bihar,Patna,2025,7,0.0,19.771428571428572,54.63511904761905
Bihar,Patna,2025,8,0.0,22.342857142857145,83.20535714285714
Bihar,Patna,2025,9,0.0,22.8,68.18988095238095
Bihar,Patna,2025,10,0.0,22.642857142857142,55.05952380952381
Bihar,Patna,2025,11,0.0,27.17142857142857,60.541666666666664
Bihar,Patna,2025,12,0.2,26.25714285714286,45.08273809523809
Bihar,Patna,2025,13,0.0,29.014285714285712,43.954166666666666
Bihar,Patna,2025,14,0.0,30.185714285714287,39.49107142857143
Bihar,Patna,2025,15,3.5,28.428571428571427,45.8625
Bihar,Patna,2025,16,8.0,27.928571428571427,52.221428571428575
Bihar,Patna,2025,17,2.8,32.81428571428571,45.03690476190476
Bihar,Patna,2025,18,10.5,27.928571428571427,41.89404761904762
Bihar,Patna,2025,19,8.8,31.514285714285712,45.029761904761905
Bihar,Patna,2025,20,1.5,32.44285714285714,55.608928571428564
Bihar,Patna,2025,21,30.2,29.414285714285715,42.157738095238095
Bihar,Patna,2025,22,12.2,31.400000000000002,28.600595238095234
Bihar,Patna,2025,23,2.3,31.25714285714286,60.48511904761905
Bihar,Patna,2025,24,2.6,34.74285714285714,50.24404761904762
Bihar,Patna,2025,25,97.0,29.657142857142855,24.402380952380955
Bihar,Patna,2025,26,50.0,29.542857142857144,27.180357142857144
Bihar,Patna,2025,27,31.5,29.400000000000002,22.99345238095238
Bihar,Patna,2025,28,12.2,29.928571428571427,26.37261904761905
Bihar,Patna,2025,29,77.1,28.957142857142856,42.105357142857144
Bihar,Patna,2025,30,37.9,30.514285714285712,44.50714285714285
Bihar,Patna,2025,31,152.79999999999998,28.385714285714283,35.31845238095238
Bihar,Patna,2025,32,58.0,28.599999999999998,41.39702380952381
Bihar,Patna,2025,33,56.7,29.25714285714286,36.69702380952381
Bihar,Patna,2025,34,81.8,28.74285714285714,20.120833333333334
Bihar,Patna,2025,35,17.9,29.17142857142857,29.44285714285714
Bihar,Patna,2025,36,33.0,29.642857142857142,28.177380952380954
Bihar,Patna,2025,37,36.6,29.185714285714287,42.46190476190476
Bihar,Patna,2025,38,44.8,28.085714285714285,47.93630952380953
Bihar,Patna,2025,39,7.1000000000000005,30.657142857142855,33.92857142857143
Bihar,Patna,2025,40,71.8,28.385714285714283,27.547619047619047
Bihar,Patna,2025,41,0.9,27.17142857142857,51.51130952380952
Bihar,Patna,2025,42,0.0,26.457142857142856,61.03511904761905
Bihar,Patna,2025,43,0.0,28.228571428571428,98.06904761904761
Bihar,Patna,2025,44,79.60000000000001,25.52857142857143,48.91428571428572
Bihar,Patna,2025,45,0.0,23.47142857142857,76.24642857142857
Bihar,Patna,2025,46,0.0,20.285714285714285,95.9077380952381
Bihar,Patna,2025,47,0.0,21.142857142857142,117.74404761904762
Bihar,Patna,2025,48,0.0,19.75714285714286,100.3797619047619
Bihar,Patna,2025,49,0.0,18.257142857142856,96.50178571428572
Bihar,Patna,2025,50,0.0,18.02857142857143,141.73928571428573
Bihar,Patna,2025,51,0.0,16.400000000000002,154.76190476190476
Bihar,Patna,2025,52,0.2,14.314285714285715,131.9279761904762
Chhattisgarh,Raipur,2025,1,0.0,19.475,68.07760416666666
Chhattisgarh,Raipur,2025,2,0.0,20.057142857142857,76.29404761904762
Chhattisgarh,Raipur,2025,3,0.0,21.428571428571427,86.6107142857143
Chhattisgarh,Raipur,2025,4,0.0,22.857142857142858,75.85535714285714
Chhattisgarh,Raipur,2025,5,0.0,25.042857142857144,71.65119047619048
Chhattisgarh,Raipur,2025,6,0.0,25.842857142857145,58.82142857142857
Chhattisgarh,Raipur,2025,7,0.0,25.642857142857142,49.0625
Chhattisgarh,Raipur,2025,8,0.0,26.685714285714287,49.32321428571428
Chhattisgarh,Raipur,2025,9,0.0,27.157142857142855,52.55952380952381
Chhattisgarh,Raipur,2025,10,0.0,27.114285714285717,40.67559523809524
Chhattisgarh,Raipur,2025,11,0.0,30.685714285714283,53.403571428571425
Chhattisgarh,Raipur,2025,12,0.7,29.785714285714285,49.13452380952381
Chhattisgarh,Raipur,2025,13,0.0,30.514285714285716,56.75535714285714
Chhattisgarh,Raipur,2025,14,0.1,30.842857142857145,69.01785714285714
Chhattisgarh,Raipur,2025,15,0.0,32.385714285714286,38.086309523809526
Chhattisgarh,Raipur,2025,16,0.0,32.94285714285714,44.964285714285715
Chhattisgarh,Raipur,2025,17,0.0,34.857142857142854,43.313095238095244
Chhattisgarh,Raipur,2025,18,17.5,28.957142857142856,37.667857142857144
Chhattisgarh,Raipur,2025,19,0.1,32.2,44.85654761904762
Chhattisgarh,Raipur,2025,20,15.8,33.55714285714286,51.97380952380953
Chhattisgarh,Raipur,2025,21,12.3,30.914285714285715,30.282142857142855
Chhattisgarh,Raipur,2025,22,11.5,30.228571428571428,47.17797619047619
Chhattisgarh,Raipur,2025,23,0.7999999999999999,32.142857142857146,50.851190476190474
Chhattisgarh,Raipur,2025,24,1.1,32.957142857142856,40.64107142857143
Chhattisgarh,Raipur,2025,25,44.7,28.985714285714288,23.504166666666666
Chhattisgarh,Raipur,2025,26,70.9,27.099999999999998,22.7625
Chhattisgarh,Raipur,2025,27,133.9,26.12857142857143,16.898214285714285
Chhattisgarh,Raipur,2025,28,115.8,26.428571428571427,22.72142857142857
Chhattisgarh,Raipur,2025,29,54.6,28.099999999999998,40.16547619047619
Chhattisgarh,Raipur,2025,30,123.69999999999999,26.842857142857145,30.235714285714288
Chhattisgarh,Raipur,2025,31,18.7,27.599999999999998,27.405357142857145
Chhattisgarh,Raipur,2025,32,5.300000000000001,28.400000000000002,44.607142857142854
Chhattisgarh,Raipur,2025,33,76.1,27.414285714285715,31.143452380952382
Chhattisgarh,Raipur,2025,34,85.7,26.02857142857143,17.371428571428574
Chhattisgarh,Raipur,2025,35,59.1,26.957142857142856,30.44285714285714
Chhattisgarh,Raipur,2025,36,71.3,26.514285714285712,28.705357142857142
Chhattisgarh,Raipur,2025,37,42.9,27.228571428571428,39.49523809523809
Chhattisgarh,Raipur,2025,38,52.6,27.25714285714286,42.92559523809524
Chhattisgarh,Raipur,2025,39,121.6,26.7,31.008928571428573
Chhattisgarh,Raipur,2025,40,86.3,26.342857142857145,35.13809523809524
Chhattisgarh,Raipur,2025,41,34.0,25.685714285714287,46.725
Chhattisgarh,Raipur,2025,42,0.7,26.114285714285717,73.34404761904761
Chhattisgarh,Raipur,2025,43,6.1,26.7,49.55833333333333
Chhattisgarh,Raipur,2025,44,51.3,25.74285714285714,25.350595238095234
Chhattisgarh,Raipur,2025,45,0.5,24.042857142857144,52.93630952380952
Chhattisgarh,Raipur,2025,46,0.0,20.485714285714288,83.2154761904762
Chhattisgarh,Raipur,2025,47,0.0,21.271428571428572,83.5422619047619
Chhattisgarh,Raipur,2025,48,0.0,21.17142857142857,87.81309523809524
Chhattisgarh,Raipur,2025,49,0.0,20.214285714285715,81.32440476190476
Chhattisgarh,Raipur,2025,50,0.0,19.357142857142858,80.51666666666667
Chhattisgarh,Raipur,2025,51,0.0,19.057142857142857,110.7422619047619
Chhattisgarh,Raipur,2025,52,0.0,18.928571428571427,85.50238095238095
Goa,Panaji,2025,1,0.0,25.5875,35.22239583333333
Goa,Panaji,2025,2,0.0,25.74285714285714,44.95357142857143
Goa,Panaji,2025,3,0.2,27.62857142857143,38.56071428571428
Goa,Panaji,2025,4,0.0,26.842857142857145,29.49345238095238
Goa,Panaji,2025,5,0.0,26.014285714285712,35.982142857142854
Goa,Panaji,2025,6,0.0,26.414285714285715,35.9875
Goa,Panaji,2025,7,0.0,27.114285714285717,44.82202380952381
Goa,Panaji,2025,8,0.0,27.5,46.41130952380953
Goa,Panaji,2025,9,0.0,28.7,30.857142857142858
Goa,Panaji,2025,10,0.0,27.857142857142858,40.89821428571428
Goa,Panaji,2025,11,0.0,29.099999999999998,32.02023809523809
Goa,Panaji,2025,12,0.0,28.314285714285713,27.45357142857143
Goa,Panaji,2025,13,0.0,28.714285714285715,26.883928571428573
Goa,Panaji,2025,14,4.6,29.214285714285715,34.12023809523809
Goa,Panaji,2025,15,1.0,29.528571428571432,32.36845238095238
Goa,Panaji,2025,16,0.0,29.37142857142857,25.086309523809526
Goa,Panaji,2025,17,0.0,30.085714285714285,27.101190476190474
Goa,Panaji,2025,18,0.4,29.7,21.651190476190475
Goa,Panaji,2025,19,2.5,29.571428571428573,18.538095238095238
Goa,Panaji,2025,20,37.6,28.785714285714285,14.442857142857143
Goa,Panaji,2025,21,387.8,26.585714285714285,10.882142857142858
Goa,Panaji,2025,22,204.7,26.428571428571427,13.535119047619048
Goa,Panaji,2025,23,50.1,26.74285714285714,19.026190476190475
Goa,Panaji,2025,24,335.3,27.071428571428573,12.704166666666667
Goa,Panaji,2025,25,182.9,25.7,10.308928571428572
Goa,Panaji,2025,26,135.0,26.614285714285717,12.048809523809524
Goa,Panaji,2025,27,222.0,25.900000000000002,11.735119047619047
Goa,Panaji,2025,28,122.9,25.87142857142857,14.767857142857142
Goa,Panaji,2025,29,184.5,25.285714285714285,12.25297619047619
Goa,Panaji,2025,30,214.3,25.585714285714285,10.530357142857142
Goa,Panaji,2025,31,31.4,26.514285714285712,12.095833333333333
Goa,Panaji,2025,32,109.1,25.82857142857143,15.318452380952381
Goa,Panaji,2025,33,199.1,24.842857142857145,9.617857142857142
Goa,Panaji,2025,34,209.9,25.385714285714283,11.263095238095238
Goa,Panaji,2025,35,199.4,25.314285714285713,9.751785714285713
Goa,Panaji,2025,36,85.7,25.414285714285715,10.517857142857142
Goa,Panaji,2025,37,21.0,26.042857142857144,12.554761904761904
Goa,Panaji,2025,38,69.3,25.62857142857143,8.675595238095237
Goa,Panaji,2025,39,114.19999999999999,25.157142857142855,8.980952380952381
Goa,Panaji,2025,40,94.8,25.52857142857143,9.968452380952382
Goa,Panaji,2025,41,22.4,26.657142857142855,25.351190476190474
Goa,Panaji,2025,42,44.4,27.74285714285714,31.589880952380955
Goa,Panaji,2025,43,134.8,26.5,12.427380952380954
Goa,Panaji,2025,44,94.1,26.314285714285713,13.242857142857144
Goa,Panaji,2025,45,5.1000000000000005,26.12857142857143,22.175
Goa,Panaji,2025,46,0.0,25.87142857142857,33.47202380952381
Goa,Panaji,2025,47,0.0,27.057142857142857,28.335714285714282
Goa,Panaji,2025,48,3.6,26.62857142857143,37.82678571428571
Goa,Panaji,2025,49,1.0,27.614285714285717,35.8375
Goa,Panaji,2025,50,0.0,25.74285714285714,28.43809523809524
Goa,Panaji,2025,51,0.0,25.442857142857143,31.711904761904766
